catalog_id,initial,name,runtime_family,runtime_type,languages_or_code,execution_model,bytecode_or_ir,memory_management,typical_environment,sandbox_model,provider_or_project,engine_or_host_relation,stateofjs_runtime_rank_2025,stateofjs_runtime_users_2025,stateofjs_runtime_use_pct_2025,stateofjs_edge_rank_2025,stateofjs_edge_users_2025,stateofjs_edge_use_pct_2025,stackoverflow_web_rank_2025,stackoverflow_web_used_pct_2025,country_data_status,gender_data_status,notes,source_url
547,W,Wasmer-JS,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
548,W,Wasmi,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
549,W,wasmi_runtime_layer,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
550,W,WasmKit,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
551,W,WasmRT,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
552,W,Wasmtime,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,Bytecode Alliance,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,"Standalone WebAssembly, WASI and Component Model runtime built around Cranelift.",https://docs.wasmtime.dev/
553,W,Wasmtime Cranelift,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
554,W,Wasmtime Winch,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
555,W,WasmVM,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
556,W,WAVM,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
557,W,wazero,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
558,W,Web Worker Runtime,Browser / Web,Browser execution environment,"JavaScript, WebAssembly",JIT + interpreter,ECMAScript / Wasm,Garbage collected,Web browser / embedded browser,Web sandbox + origin model,,V8 / SpiderMonkey / JavaScriptCore depending browser,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
559,W,WebAssembly Embedded Runtime,Embedded / constrained,Embedded runtime / VM,"Java ME, .NET, Python, JavaScript, Ruby, Lua, Go, WebAssembly",Interpreter / AOT / JIT varies,Bytecode / native / Wasm,Small-footprint managed or manual,"Microcontrollers, IoT, RTOS",Device/firmware constraints,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
560,W,WebAssembly Micro Runtime (WAMR),WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
561,W,WebView JavaScript Runtime,Browser / Web,Browser execution environment,"JavaScript, WebAssembly",JIT + interpreter,ECMAScript / Wasm,Garbage collected,Web browser / embedded browser,Web sandbox + origin model,,V8 / SpiderMonkey / JavaScriptCore depending browser,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
562,W,Wine Runtime,Native system runtimes,Runtime library / ABI layer,"C, C++ and native languages",Native execution support,Native machine code / ABI,Manual / language-specific,"Operating systems, embedded, native applications",OS process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
563,W,WinPython CPython Runtime,Python,Language runtime / implementation,Python,Bytecode interpreter / JIT / AOT varies,Python bytecode / JVM / CLR / Wasm / native varies,Garbage collected / reference counting varies,"Server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://www.python.org/download/alternatives/
564,W,WinterJS,JavaScript / TypeScript,Application runtime,JavaScript / TypeScript,Interpreter / JIT / AOT varies,JavaScript source / engine-specific bytecode,Garbage collected,Server / embedded / edge / experimental,Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
565,W,Wizard Research Engine,WebAssembly / WASI,WebAssembly runtime / engine,"WebAssembly, WASI components",Interpreter / JIT / AOT varies,Wasm / Component Model,Sandboxed linear memory,"Server, edge, embedded, plugins, blockchain",Wasm sandbox + capability model when WASI is used,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://github.com/appcypher/awesome-wasm-runtimes
566,W,Wolfram Language Kernel,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
567,W,Wonka VM,JVM,JVM implementation / managed runtime,Java bytecode / JVM languages,Interpreter + tiered JIT / AOT varies,JVM bytecode,Garbage collected,"Server, desktop, cloud, embedded",Managed runtime; process boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_Java_virtual_machines
568,W,workerd,Edge / serverless,Managed execution platform,Multi-language / JavaScript / WebAssembly varies,Managed process / isolate / Wasm execution,Provider-defined,Provider-managed,Cloud / edge,Provider sandbox / isolate / container boundary,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,Execution platform rather than a standalone language VM; overlaps cloud/serverless taxonomy.,https://2025.stateofjs.com/en-US/other-tools/
569,W,Worklet Runtime,Browser / Web,Browser execution environment,"JavaScript, WebAssembly",JIT + interpreter,ECMAScript / Wasm,Garbage collected,Web browser / embedded browser,Web sandbox + origin model,,V8 / SpiderMonkey / JavaScriptCore depending browser,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
570,X,Xamarin Mono Runtime,.NET / CLI,Managed runtime / AOT runtime,CLI languages / CIL,JIT / AOT / interpreter varies,CIL / native code / Wasm,Garbage collected,"Desktop, server, mobile, games, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://learn.microsoft.com/en-us/dotnet/fundamentals/implementations
571,X,XS,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
572,Y,YAP Abstract Machine,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
573,Y,YAP Prolog Runtime,Other language runtimes,Language runtime / VM / execution environment,"Prolog, Tcl, AWK, Forth, Haxe, Dart and others",Interpreter / JIT / AOT / native varies,Language-specific bytecode / native / JS / Wasm,Varies,"CLI, server, desktop, browser, embedded",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
574,Y,Yarr,JavaScript engines,Language engine / VM,JavaScript; some WebAssembly,Interpreter + JIT varies,Engine bytecode / machine code,Garbage collected,"Browsers, runtimes, embedded applications",Embedding host controls sandbox,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/List_of_JavaScript_engines
575,Y,YARV,Ruby,Language runtime / VM / JIT,Ruby,Interpreter / bytecode VM / JIT / AOT varies,YARV bytecode / JVM bytecode / native / JavaScript varies,Garbage collected,"Server, desktop, embedded, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
576,Y,YJIT,Ruby,Language runtime / VM / JIT,Ruby,Interpreter / bytecode VM / JIT / AOT varies,YARV bytecode / JVM bytecode / native / JavaScript varies,Garbage collected,"Server, desktop, embedded, browser",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
577,Z,Z-machine,Historical / portable VMs,Virtual machine / educational or legacy runtime,Various,Interpreter / JIT / AOT varies,Portable bytecode / IR,Varies,"Historical, research, legacy systems",Host-dependent,,,,,,,,,,,No comparable runtime-by-country global table populated,No robust per-runtime gender cross-tab populated,,https://en.wikipedia.org/wiki/Comparison_of_application_virtualization_software
